做完典狱长任务可以先去加盟三巫神。每个难度加盟不同。
拜斯迈：向前跳赶路最好用，德里格：闪现cd长，索拉尔：向后跳，相对稳定。
清完典狱长就可以加入三巫神，由于传送点飞来飞去可以考虑先拿闪现或向后跳的逃脱。通常德里格对开荒的帮助最大，其次是索拉尔。

恶魔十字（特使接任务）, 72.10, 7.99, 81.23,
三巫神秘会（传送门）, -3385.03, 55.10, 6971.97,
三巫神秘会（主线-特使）, -3393.27, 54.17, 6952.57,
三巫神秘会（主线-开启试炼）, -3430.06, 43.18, 6987.45,
三巫神秘会（主线-交任务）, -3391.32, 54.19, 6950.62,
三巫神秘会（加入德里格）, -3495.16, 48.99, 6954.84,
三巫神秘会（加入索拉尔）, -3440.01, 51.85, 6912.06,
三巫神秘会（加入拜斯迈）, -3473.49, 49.23, 7005.11,

恶魔十字（主-修桥）, 27.28, 7.82, 98.04,
脊状峡谷（神龛-！）, -992.48, 6.00, 2204.53,
安克维亚山麓（主-杀人犯和更糟糕的事）, -84.12, 14.55, 150.09,
恶魔十字（主交接）, 60.45, 10.50, 61.39,
安克维亚山麓（传送点）, -424.75, 10.14, 267.56,
安克维亚山麓（接背包任务）, -425.16, 10.52, 328.38,
斯汤顿矿洞（!拿炸药）, -684.73, 6.48, 1593.36,
安克维亚山麓（背-爆破点）, -555.96, 12.36, 286.48,
安克维亚山麓（交背包任务）, -425.16, 10.52, 328.38,
岩石海岸（神龛-冰封之心-复仇之魂）, -681.73, 26.38, 82.76,

克隆利的藏身处（德莱厄斯）（杀完以后左上角摧毁留下水晶可以得到虚化集簇）, -622.54, 15.00, 1130.16,
双子瀑布（传送门）, -1031.40, 11.11, 150.51,

古安克维亚（地下城出来就是米诺娃，接任务仁慈的结局）, -789.80, 21.98, 269.11,
破碎丘陵（传送点）, -784.45, 24.17, 339.10,
破碎丘陵（支-仁慈的结局）, -976.84, 27.75, 550.58,
古安克维亚（支交-仁慈的结局）, -789.80, 21.98, 269.11,
贫瘠高地（神龛-抛光翡翠-罐魔银粉）, -1069.23, 26.47, 580.87,
走私者的通道（传送门）, -1100.09, 7.15, 1698.11,
走私者的通道（BOSS打完开门）, -1176.18, 22.99, 1398.88,
亡者峡谷（传送门）, -1737.62, 6.38, 860.57,
亡者峡谷（主接-及时抵达）, -1746.15, 1.72, 810.81,
山脉深渊（神龛-！）, -1968.35, 5.19, 1474.90,
采矿者小径（传送门）, -1872.67, 29.25, 270.17,
霍姆斯特德（！传送门）, -2062.34, 11.04, 40.75,
亡者峡谷（主交-及时抵达）, -1746.15, 1.72, 810.81,

